Entity,Code,Year,Outdoor air pollution
Slovakia,SVK,2006,3981
Slovakia,SVK,2010,3812
Slovakia,SVK,2016,3674
Slovenia,SVN,1990,1280
Slovenia,SVN,1995,1177
Slovenia,SVN,2000,1034
Slovenia,SVN,2005,941
Slovenia,SVN,2006,918
Slovenia,SVN,2010,869
Slovenia,SVN,2016,950
Solomon Islands,SLB,1990,59
Solomon Islands,SLB,1995,65
Solomon Islands,SLB,2000,75
Solomon Islands,SLB,2005,106
Solomon Islands,SLB,2006,102
Solomon Islands,SLB,2010,88
Solomon Islands,SLB,2016,144
Somalia,SOM,1990,3507
Somalia,SOM,1995,3298
Somalia,SOM,2000,3420
Somalia,SOM,2005,3209
Somalia,SOM,2006,3235
Somalia,SOM,2010,3402
Somalia,SOM,2016,4034
South Africa,ZAF,1990,15269
South Africa,ZAF,1995,16777
South Africa,ZAF,2000,24282
South Africa,ZAF,2005,25274
South Africa,ZAF,2006,25206
South Africa,ZAF,2010,22109
South Africa,ZAF,2016,21575
South Asia,,1990,916845
South Asia,,1995,973556
South Asia,,2000,1043666
South Asia,,2005,1104701
South Asia,,2006,1121405
South Asia,,2010,1193879
South Asia,,2016,1392260
South Korea,KOR,1990,14716
South Korea,KOR,1995,13365
South Korea,KOR,2000,13311
South Korea,KOR,2005,13067
South Korea,KOR,2006,12941
South Korea,KOR,2010,13298
South Korea,KOR,2016,17616
South Sudan,SSD,1990,4735
South Sudan,SSD,1995,4022
South Sudan,SSD,2000,4187
South Sudan,SSD,2005,4154
South Sudan,SSD,2006,4392
South Sudan,SSD,2010,5126
South Sudan,SSD,2016,7016
Southeast Asia,,1990,169225
Southeast Asia,,1995,182853
Southeast Asia,,2000,202146
Southeast Asia,,2005,227187
Southeast Asia,,2006,227133
Southeast Asia,,2010,227210
Southeast Asia,,2016,249469
Southern Sub-Saharan Africa,,1990,20039
Southern Sub-Saharan Africa,,1995,21939
Southern Sub-Saharan Africa,,2000,31646
Southern Sub-Saharan Africa,,2005,33269
Southern Sub-Saharan Africa,,2006,33018
Southern Sub-Saharan Africa,,2010,29487
Southern Sub-Saharan Africa,,2016,29063
Spain,ESP,1990,14236
Spain,ESP,1995,14365
Spain,ESP,2000,14813
Spain,ESP,2005,14717
Spain,ESP,2006,14324
Spain,ESP,2010,13430
Spain,ESP,2016,14168
Sri Lanka,LKA,1990,5889
Sri Lanka,LKA,1995,6369
Sri Lanka,LKA,2000,7322
Sri Lanka,LKA,2005,7526
Sri Lanka,LKA,2006,7557
Sri Lanka,LKA,2010,7368
Sri Lanka,LKA,2016,7550
Sub-Saharan Africa,,1990,299130
Sub-Saharan Africa,,1995,319683
Sub-Saharan Africa,,2000,340145
Sub-Saharan Africa,,2005,320122
Sub-Saharan Africa,,2006,321055
Sub-Saharan Africa,,2010,318168
Sub-Saharan Africa,,2016,379830
Sudan,SDN,1990,12826
Sudan,SDN,1995,14957
Sudan,SDN,2000,15521
Sudan,SDN,2005,15849
Sudan,SDN,2006,16047
Sudan,SDN,2010,16428
Sudan,SDN,2016,19219
Suriname,SUR,1990,139
Suriname,SUR,1995,150
Suriname,SUR,2000,170
Suriname,SUR,2005,149
Suriname,SUR,2006,147
Suriname,SUR,2010,143
Suriname,SUR,2016,191
Swaziland,SWZ,1990,280
Swaziland,SWZ,1995,296
Swaziland,SWZ,2000,445
Swaziland,SWZ,2005,548
Swaziland,SWZ,2006,529
Swaziland,SWZ,2010,469
Swaziland,SWZ,2016,436
Sweden,SWE,1990,3041
Sweden,SWE,1995,2582
Sweden,SWE,2000,2273
Sweden,SWE,2005,1761
Sweden,SWE,2006,1729
Sweden,SWE,2010,1619
Sweden,SWE,2016,1472
Switzerland,CHE,1990,3085
Switzerland,CHE,1995,2887
Switzerland,CHE,2000,2544
Switzerland,CHE,2005,2280
Switzerland,CHE,2006,2255
Switzerland,CHE,2010,2198
Switzerland,CHE,2016,2191
Syria,SYR,1990,4512
Syria,SYR,1995,4921
Syria,SYR,2000,5494
Syria,SYR,2005,5692
Syria,SYR,2006,5868
Syria,SYR,2010,6807
Syria,SYR,2016,6906
Taiwan,TWN,1990,6074
Taiwan,TWN,1995,6788
Taiwan,TWN,2000,7259
Taiwan,TWN,2005,8243
Taiwan,TWN,2006,8335
Taiwan,TWN,2010,9224
Taiwan,TWN,2016,10647
Tajikistan,TJK,1990,6097
Tajikistan,TJK,1995,5643
Tajikistan,TJK,2000,5027
Tajikistan,TJK,2005,4282
Tajikistan,TJK,2006,4183
Tajikistan,TJK,2010,4309
Tajikistan,TJK,2016,4746
Tanzania,TZA,1990,12643
Tanzania,TZA,1995,13854
Tanzania,TZA,2000,13673
Tanzania,TZA,2005,13225
Tanzania,TZA,2006,13495
Tanzania,TZA,2010,13645
Tanzania,TZA,2016,14443
Thailand,THA,1990,15842
Thailand,THA,1995,18115
Thailand,THA,2000,20319
Thailand,THA,2005,22998
Thailand,THA,2006,23223
Thailand,THA,2010,22973
Thailand,THA,2016,26696
Timor,TLS,1990,276
Timor,TLS,1995,260
Timor,TLS,2000,213
Timor,TLS,2005,223
Timor,TLS,2006,225
Timor,TLS,2010,255
Timor,TLS,2016,257
Togo,TGO,1990,2386
Togo,TGO,1995,2559
Togo,TGO,2000,2700
Togo,TGO,2005,2501
Togo,TGO,2006,2480
Togo,TGO,2010,2564
Togo,TGO,2016,3679
Tonga,TON,1990,8
Tonga,TON,1995,9
Tonga,TON,2000,9
Tonga,TON,2005,9
Tonga,TON,2006,8
Tonga,TON,2010,5
Tonga,TON,2016,5
Trinidad and Tobago,TTO,1990,474
Trinidad and Tobago,TTO,1995,502
Trinidad and Tobago,TTO,2000,502
Trinidad and Tobago,TTO,2005,402
Trinidad and Tobago,TTO,2006,389
Trinidad and Tobago,TTO,2010,359
Trinidad and Tobago,TTO,2016,474
Tunisia,TUN,1990,3321
Tunisia,TUN,1995,3757
Tunisia,TUN,2000,3802
Tunisia,TUN,2005,3725
Tunisia,TUN,2006,3847
Tunisia,TUN,2010,4421
Tunisia,TUN,2016,5077
Turkey,TUR,1990,26769
Turkey,TUR,1995,27988
Turkey,TUR,2000,25897
Turkey,TUR,2005,21985
Turkey,TUR,2006,21766
Turkey,TUR,2010,23734
Turkey,TUR,2016,28785
Turkmenistan,TKM,1990,3456
Turkmenistan,TKM,1995,3745
Turkmenistan,TKM,2000,3658
Turkmenistan,TKM,2005,2767
Turkmenistan,TKM,2006,2802
Turkmenistan,TKM,2010,2944
Turkmenistan,TKM,2016,3206
Uganda,UGA,1990,12152
Uganda,UGA,1995,12953
Uganda,UGA,2000,12734
Uganda,UGA,2005,12692
Uganda,UGA,2006,12877
Uganda,UGA,2010,12654
Uganda,UGA,2016,14699
Ukraine,UKR,1990,65027
Ukraine,UKR,1995,74540
Ukraine,UKR,2000,65892
Ukraine,UKR,2005,64905
Ukraine,UKR,2006,62629
Ukraine,UKR,2010,56536
Ukraine,UKR,2016,54348
United Arab Emirates,ARE,1990,497
United Arab Emirates,ARE,1995,643
United Arab Emirates,ARE,2000,757
United Arab Emirates,ARE,2005,927
United Arab Emirates,ARE,2006,1030
United Arab Emirates,ARE,2010,1835
United Arab Emirates,ARE,2016,3224
United Kingdom,GBR,1990,41972
United Kingdom,GBR,1995,38469
United Kingdom,GBR,2000,32892
United Kingdom,GBR,2005,27817
United Kingdom,GBR,2006,26841
United Kingdom,GBR,2010,24519
United Kingdom,GBR,2016,25572
United States,USA,1990,111688
United States,USA,1995,113374
United States,USA,2000,113950
United States,USA,2005,108060
United States,USA,2006,103600
United States,USA,2010,91491
United States,USA,2016,105616
United States Virgin Islands,VIR,1990,31
United States Virgin Islands,VIR,1995,36
United States Virgin Islands,VIR,2000,44
United States Virgin Islands,VIR,2005,46
United States Virgin Islands,VIR,2006,46
United States Virgin Islands,VIR,2010,49
United States Virgin Islands,VIR,2016,62
Uruguay,URY,1990,1457
Uruguay,URY,1995,1475
Uruguay,URY,2000,1397
Uruguay,URY,2005,1280
Uruguay,URY,2006,1260
Uruguay,URY,2010,1228
Uruguay,URY,2016,1200
Uzbekistan,UZB,1990,15407
Uzbekistan,UZB,1995,17951
Uzbekistan,UZB,2000,18668
Uzbekistan,UZB,2005,18875
Uzbekistan,UZB,2006,18743
Uzbekistan,UZB,2010,18529
Uzbekistan,UZB,2016,20480
Vanuatu,VUT,1990,46
Vanuatu,VUT,1995,54
Vanuatu,VUT,2000,60
Vanuatu,VUT,2005,72
Vanuatu,VUT,2006,70
Vanuatu,VUT,2010,62
Vanuatu,VUT,2016,83
Venezuela,VEN,1990,5292
Venezuela,VEN,1995,5553
Venezuela,VEN,2000,6093
Venezuela,VEN,2005,6333
Venezuela,VEN,2006,6533
Venezuela,VEN,2010,6694
Venezuela,VEN,2016,8701
Vietnam,VNM,1990,28811
Vietnam,VNM,1995,30971
Vietnam,VNM,2000,34100
Vietnam,VNM,2005,38527
Vietnam,VNM,2006,38574
Vietnam,VNM,2010,38872
Vietnam,VNM,2016,41675
Wales,,1990,2127
Wales,,1995,1961
Wales,,2000,1686
Wales,,2005,1413
Wales,,2006,1366
Wales,,2010,1282
Wales,,2016,1321
Western Europe,,1990,213932
Western Europe,,1995,196146
Western Europe,,2000,177844
Western Europe,,2005,160318
Western Europe,,2006,157878
Western Europe,,2010,154433
Western Europe,,2016,160741
Western Sub-Saharan Africa,,1990,140175
Western Sub-Saharan Africa,,1995,148424
Western Sub-Saharan Africa,,2000,153465
Western Sub-Saharan Africa,,2005,138294
Western Sub-Saharan Africa,,2006,138762
Western Sub-Saharan Africa,,2010,139100
Western Sub-Saharan Africa,,2016,180996
World,OWID_WRL,1990,3471647
World,OWID_WRL,1995,3686887
World,OWID_WRL,2000,3808569
World,OWID_WRL,2005,3904674
World,OWID_WRL,2006,3874809
World,OWID_WRL,2010,3952905
World,OWID_WRL,2016,4326330
Yemen,YEM,1990,8302
Yemen,YEM,1995,10399
Yemen,YEM,2000,10420
Yemen,YEM,2005,9316
Yemen,YEM,2006,9359
Yemen,YEM,2010,9987
Yemen,YEM,2016,12708
Zambia,ZMB,1990,5341
Zambia,ZMB,1995,5938
Zambia,ZMB,2000,6408
Zambia,ZMB,2005,6307
Zambia,ZMB,2006,6285
Zambia,ZMB,2010,5731
Zambia,ZMB,2016,5848
Zimbabwe,ZWE,1990,2860
Zimbabwe,ZWE,1995,3015
Zimbabwe,ZWE,2000,4460
Zimbabwe,ZWE,2005,4923
Zimbabwe,ZWE,2006,4829
Zimbabwe,ZWE,2010,4696
Zimbabwe,ZWE,2016,4672
